;UF_Destino;UF_origem;Origem;Destino;KM;PED;Pton;Preco;Produto;Especie;Veiculo_1;Veiculo_2;Ano;Mes;Dia
4070;RJ;PR;São José Dos Pinhais;Sao Joao Da Barra;1158;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
4071;RJ;PR;São José Dos Pinhais;Campos Dos Goytacazes;1122;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
4072;RJ;PR;São José Dos Pinhais;Campos Dos Goytacazes;1122;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
4073;RJ;PR;São José Dos Pinhais;Campos Dos Goytacazes;1122;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
4074;RJ;PR;São José Dos Pinhais;Campos Dos Goytacazes;1122;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
4075;RJ;PR;São José Dos Pinhais;Campos Dos Goytacazes;1122;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
4076;RJ;PR;São José Dos Pinhais;Campos Dos Goytacazes;1122;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
4077;RJ;PR;São José Dos Pinhais;Campos Dos Goytacazes;1122;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
4078;GO;PR;São José Dos Pinhais;Campinorte;1630;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
4079;GO;PR;São José Dos Pinhais;Campinorte;1630;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
4080;GO;PR;São José Dos Pinhais;Campinorte;1630;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
4081;GO;PR;São José Dos Pinhais;Luziania;1339;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
4082;GO;PR;São José Dos Pinhais;Luziania;1339;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
4083;DF;PR;São José Dos Pinhais;Brasilia;1392;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
4084;DF;PR;São José Dos Pinhais;Brasilia;1392;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
4085;DF;PR;São José Dos Pinhais;Brasilia;1392;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
4086;DF;PR;São José Dos Pinhais;Brasilia;1392;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
4087;DF;PR;São José Dos Pinhais;Brasilia;1392;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
4088;DF;PR;São José Dos Pinhais;Taguatinga;Não informado;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
4089;DF;PR;São José Dos Pinhais;Taguatinga;Não informado;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
4090;GO;PR;São José Dos Pinhais;Niquelandia;1630;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
4091;GO;PR;São José Dos Pinhais;Niquelandia;1630;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
4092;GO;PR;São José Dos Pinhais;Niquelandia;1630;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
4093;SP;PR;São José Dos Pinhais;Sao Paulo;408;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
4094;SP;PR;São José Dos Pinhais;Sao Bernardo Do Campo;414;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
4095;SP;PR;São José Dos Pinhais;Sao Bernardo Do Campo;414;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
4096;SP;PR;São José Dos Pinhais;Sao Bernardo Do Campo;414;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
4097;RJ;PR;São José Dos Pinhais;Rio De Janeiro;854;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
4098;RJ;PR;São José Dos Pinhais;Rio De Janeiro;854;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
